meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,4.02,3.82,4.3,4.3,4.3,4.3,ChangeInsulationRValueForExteriorWalls,r_value,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.51,4.51,4.97,5.61,ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,4.02,3.82,4.51,4.51,4.97,5.61,3
ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.3,12.03,12.3,12.3,12.3,12.3,ChangeInsulationRValueForRoofs,r_value_roof,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.77,12.3,15.53,15.53,15.53,15.53,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
ReplaceLightsInSpaceTypeWithLPD,lpd,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,8.6111283334,ReplaceLightsInSpaceTypeWithLPD,lpd,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,22.6042118751,ReplaceLightsInSpaceTypeWithLPD,lpd,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,19.3750387501,3
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_person,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,ChangeOutdoorAir,design_spec_outdoor_air_per_person,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,ChangeOutdoorAir,design_spec_outdoor_air_per_person,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1
ResizeExistingWindowsToMatchAGivenWWR,wwr,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2
ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
